The Danish Girl,R,119 min,"Biography, Drama, Romance",12/25/15,Tom Hooper,"David Ebershoff (novel), Lucinda Coxon (screenplay)","Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller",http://ia.media-imdb.com/images/M/MV5BMjA0NjA4NjE2Nl5BMl5BanBnXkFtZTgwNzIxNTY2NjE@._V1_SX300.jpg,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
Daddy's Home,PG-13,96 min,Comedy,12/25/15,Sean Anders,"Brian Burns (screenplay), Sean Anders (screenplay), John Morris (screenplay), Brian Burns (story)","Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",http://ia.media-imdb.com/images/M/MV5BMTQ0OTE1MTk4N15BMl5BanBnXkFtZTgwMDM5OTk5NjE@._V1_SX300.jpg,"A mild-mannered radio executive strives to become the best stepdad to his wife's two children, but complications ensue when their freewheeling and freeloading real father arrives, forcing him to compete for the affection of the kids."
Point Break,PG-13,114 min,"Action, Crime, Sport",12/25/15,Ericson Core,"Kurt Wimmer (screenplay), Rick King (story), W. Peter Iliff (story), Kurt Wimmer (story), W. Peter Iliff, Rick King, W. Peter Iliff","Edgar Ramirez, Luke Bracey, Ray Winstone, Teresa Palmer",http://ia.media-imdb.com/images/M/MV5BMjIxNDkzOTAyNV5BMl5BanBnXkFtZTgwNjEyOTY3NjE@._V1_SX300.jpg,"A young FBI agent infiltrates an extraordinary team of extreme sports athletes he suspects of masterminding a string of unprecedented, sophisticated corporate heists."
Yellow Day,PG,98 min,"Drama, Family, Fantasy",12/25/15,Carl Lauten,G.P. Galle Jr.,"Drew Seeley, Lindsey Shaw, Ashley Boettcher, Akeem Smith",http://ia.media-imdb.com/images/M/MV5BMTY1NTIwNDg4OV5BMl5BanBnXkFtZTgwNDEzMzc5NjE@._V1_SX300.jpg,"Yellow Day chronicles a young man's life-changing and inspirational journey through the mysterious Yellow Day. To many, the Yellow Day is simply a fun day celebrating outreach at a kid's ..."
Joy,PG-13,124 min,"Biography, Comedy, Drama",12/25/15,David O. Russell,"David O. Russell (screenplay), Annie Mumolo (story), David O. Russell (story)","Jennifer Lawrence, Robert De Niro, Bradley Cooper, Édgar Ramírez",http://ia.media-imdb.com/images/M/MV5BMzc2MTI5Mzk0MV5BMl5BanBnXkFtZTgwMDIxMDg1NjE@._V1_SX300.jpg,Joy is the story of a family across four generations and the woman who rises to become founder and matriarch of a powerful family business dynasty.
Concussion,PG-13,123 min,"Drama, Sport",12/25/15,Peter Landesman,"Peter Landesman, Jeanne Marie Laskas (GQ article ""Game Brain"")","Will Smith, Luke Wilson, Gugu Mbatha-Raw, Alec Baldwin",http://ia.media-imdb.com/images/M/MV5BMTYwNjgwNDg0NV5BMl5BanBnXkFtZTgwMzY1MjAyNzE@._V1_SX300.jpg,"In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play."
The Big Short,R,130 min,"Biography, Drama",12/23/15,Adam McKay,"Charles Randolph (screenplay), Adam McKay (screenplay), Michael Lewis (book)","Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",http://ia.media-imdb.com/images/M/MV5BMjM2MTQ2MzcxOF5BMl5BanBnXkFtZTgwNzE4NTUyNzE@._V1_SX300.jpg,"Four denizens of the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight."
Sisters,R,118 min,Comedy,12/18/15,Jason Moore,Paula Pell (screenplay),"Amy Poehler, Tina Fey, Maya Rudolph, Ike Barinholtz",http://ia.media-imdb.com/images/M/MV5BMjM3MzQ5NDE5MF5BMl5BanBnXkFtZTgwODE5OTQyNzE@._V1_SX300.jpg,Two sisters decide to throw one last house party before their parents sell their family home.
He Never Died,R,99 min,"Comedy, Drama, Horror",12/18/15,Jason Krawczyk,"Jason Krawczyk, Jason Krawczyk","Henry Rollins, Booboo Stewart, Jordan Todosey, Steven Ogg",http://ia.media-imdb.com/images/M/MV5BMTQ4MzcwMzAwOV5BMl5BanBnXkFtZTgwMzk0MzgyNzE@._V1_SX300.jpg,"Jack, a social outcast, is thrust out of his comfort zone when the outside world bangs on his door and he can't contain his violent past."
Star Wars: The Force Awakens,PG-13,135 min,"Action, Adventure, Fantasy",12/18/15,J.J. Abrams,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)","Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",http://ia.media-imdb.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
Alvin and the Chipmunks: The Road Chip,PG,92 min,"Animation, Adventure, Comedy",12/18/15,Walt Becker,"Ross Bagdasarian (characters), Janice Karman (characters), Randi Mayem Singer, Adam Sztykiel","Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney",http://ia.media-imdb.com/images/M/MV5BMTQ1NjQyNTkyOF5BMl5BanBnXkFtZTgwNzA3OTUyNzE@._V1_SX300.jpg,"Through a series of misunderstandings, Alvin, Simon and Theodore come to believe that Dave is going to propose to his new girlfriend in Miami...and dump them. They have three days to get to him and stop the proposal, saving themselves not only from losing Dave but possibly from gaining a terrible stepbrother."
Do It in Post,R,82 min,Comedy,12/14/15,Rob Dionne,Rob Dionne,"Melvin Lima, Harrison Myles, Chris Greene, Tammy Torres",http://ia.media-imdb.com/images/M/MV5BMTY4NTg1Mjc4OV5BMl5BanBnXkFtZTcwNDQyODMwNA@@._V1_SX300.jpg,"Stranded on a nightmarish movie set with no real experience and no way to get home, Alex will find out if he has what it takes to help the crew get the last shot and save the movie."
In the Heart of the Sea,PG-13,122 min,"Action, Adventure, Biography",12/11/15,Ron Howard,"Charles Leavitt (screenplay), Charles Leavitt (story), Rick Jaffa (story), Amanda Silver (story), Nathaniel Philbrick (book)","Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson",http://ia.media-imdb.com/images/M/MV5BMjA5NzUwODExM15BMl5BanBnXkFtZTgwNjM0MzE4NjE@._V1_SX300.jpg,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick."
